"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06007","Butte County, CA","1.2","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"06019","Fresno County, CA","1.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"06027","Inyo County, CA","2.2","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"06029","Kern County, CA","0.5","0.3",".",".",".",".",".",".",".",".",".",".",".","."
"06037","Los Angeles County, CA","6.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"06053","Monterey County, CA","0.8","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"06059","Orange County, CA","2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"06065","Riverside County, CA","2.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"06067","Sacramento County, CA","1.3","1",".",".",".",".",".",".",".",".",".",".",".","."
"06071","San Bernardino County, CA","1.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"06083","Santa Barbara County, CA","1.1","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"06099","Stanislaus County, CA","1.2","1",".",".",".",".",".",".",".",".",".",".",".","."
